track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,mode,danceability_%,energy_%
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703,Major,80,83
LALA,Myke Towers,1,2023,3,23,1474,48,133716286,Major,71,74
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974,Major,51,53
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817,Major,55,72
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322,Minor,65,80
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234,Major,92,58
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112,Minor,67,76
Columbia,Quevedo,1,2023,7,7,714,43,58149378,Major,67,71
fukumean,Gunna,1,2023,5,15,1096,83,95217315,Minor,85,62
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067,Minor,81,48
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,505671438,Minor,57,72
Super Shy,NewJeans,1,2023,7,7,422,55,58255150,Minor,78,82
Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716,Major,71,68
Daylight,David Kushner,1,2023,4,14,3528,98,387570742,Minor,51,43
As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493,Minor,52,73
Kill Bill,SZA,1,2022,12,8,8109,77,1163093654,Major,64,73
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,496795686,Minor,78,59
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,873,104,30546883,Major,44,9
Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40,335222234,Major,86,66
Like Crazy,Jimin,1,2023,3,24,596,68,363369738,Major,63,73
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842,Minor,65,74
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248,Major,69,76
I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12859,110,1297026226,Minor,48,42
